,title,authors,doi,abstract,citations,pubdate,pubtype,proceedings,ccs
10,A Case Study to Distill Structural Scaffolding Guidelines for Scaffolded Software Environments,"['Chris Quintana', 'Joseph Krajcik', 'Elliot Soloway']",https://doi.org/10.1145/503376.503392,"A challenge for HCI researchers and designers involves developing software tools for learners to support them in mindfully doing and learning complex new work practices. Such ""learner-centered"" tools incorporate scaffolds-software features that address the cognitive obstacles learners face so they can engage in the work in an educationally productive manner. However, designers still lack specific scaffolding design guidelines for developing effective scaffolded tools. The HCI contribution of this paper is a set of scaffolding guidelines distilled from an empirical case study. The study evaluated Symphony, a scaffolded environment for high school students learning science inquiry. The study evaluated the ""effects with"" the Symphony scaffolds, which described how students worked with the scaffolds to do their science work. The scaffolds were evaluated using several usability and learner-centered criteria, and the resulting information was correlated with structural characteristics of the scaffolds to distill a set of structural scaffolding guidelines",19,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Cognitive robotics', 'Philosophical/theoretical foundations of artificial intelligence', 'Cognitive science', 'Human-centered computing', 'Human computer interaction (HCI)', 'Software and its engineering', 'Software creation and management', 'Software development techniques']"
11,Notification for shared annotation of digital documents,"['A. J. Bernheim Brush', 'David Bargeron', 'Jonathan Grudin', 'Anoop Gupta']",https://doi.org/10.1145/503376.503393,"Notification and shared annotations go hand-in-hand. Notification of activity in a shared document system is known to support awareness and improve asynchronous collaboration, but few studies have examined user needs and explored design tradeoffs. We examined large-scale use of notifications in a commercial system and found it lacking. We designed and deployed enhancements to the system, then conducted a field study to gauge their effect. We found that providing more information in notification messages, supporting multiple communication channels through which notifications can be received, and allowing customization of notification messages are particularly important. Overall awareness of annotation activity on software specifications increased with our enhancements",25,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Applied computing', 'Document management and text processing', 'Document capture', 'Document analysis', 'Computing methodologies', 'Artificial intelligence', 'Philosophical/theoretical foundations of artificial intelligence', 'Cognitive science', 'Human-centered computing', 'Human computer interaction (HCI)', 'Empirical studies in HCI', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments']"
12,"""I'd be overwhelmed, but it's just one more thing to do"": availability and interruption in research management","['James M. Hudson', 'Jim Christensen', 'Wendy A. Kellogg', 'Thomas Erickson']",https://doi.org/10.1145/503376.503394,"Many CSCW projects dealing with individual availability and interruption filtering achieve only limited success. Perhaps this is because designers of such systems have limited evidence to draw upon; most data on interruption management is at least a decade old. This study uses an empirical sampling method and qualitative interviews to examine attitudes toward availability and interruption. Specifically, we analyze how corporate research managers spend their time and look at how their attitudes toward interruption relate to their various activities. Attitudes toward interruption are marked by a complex tension between wanting to avoid interruption and appreciating its usefulness. We conclude by discussing the implications of these findings for design, suggesting that the notion of socially translucent systems may be a fruitful approach",119,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Human computer interaction (HCI)', 'Information systems', 'Information retrieval', 'Retrieval tasks and goals', 'Document filtering', 'Information extraction', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments', 'Integrated and visual development environments']"
13,Comparing voodoo dolls and HOMER: exploring the importance of feedback in virtual environments,"['Jeffrey S. Pierce', 'Randy Pausch']",https://doi.org/10.1145/503376.503396,"When creating techniques for manipulating objects at a distance in immersive virtual environments, researchers have primarily focused on increasing selection range, placement range, and placement accuracy. This focus has led researchers to create and formally study a series of ""arm-extension"" techniques, which dynamically scale the user's arm to allow him to manipulate distant objects. Researchers have also developed representation-based techniques, which allow users to manipulate a distant object by manipulating a copy of it in a handheld representation. However, researchers have not yet formally established the relative value of these techniques. In this paper we present a formal study comparing Voodoo Dolls, a best-practice representation-based technique, with HOMER, a best-practice arm-extension technique. We found that the Voodoo Dolls technique, which provides better feedback by allowing users to view a manipulated object both up close and at a distance, allowed users to both position and orient objects more accurately. Our results suggest that researchers should focus on improving feedback for 3D manipulation techniques",11,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Image and video acquisition', '3D imaging', 'Computer graphics', 'Graphics systems and interfaces', 'Virtual reality', 'Human-centered computing', 'Human computer interaction (HCI)', 'Interaction paradigms', 'Mixed / augmented reality', 'Virtual reality']"
14,SmartSkin: an infrastructure for freehand manipulation on interactive surfaces,['Jun Rekimoto'],https://doi.org/10.1145/503376.503397,"This paper introduces a new sensor architecture for making interactive surfaces that are sensitive to human hand and finger gestures. This sensor recognizes multiple hand positions and shapes and calculates the distance between the hand and the surface by using capacitive sensing and a mesh-shaped antenna. In contrast to camera-based gesture recognition systems, all sensing elements can be integrated within the surface, and this method does not suffer from lighting and occlusion problems. This paper describes the sensor architecture, as well as two working prototype systems: a table-size system and a tablet-size system. It also describes several interaction techniques that would be difficult to perform without using this architecture",429,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computer systems organization', 'Embedded and cyber-physical systems', 'Sensors and actuators', 'Computing methodologies', 'Computer graphics', 'Graphics systems and interfaces', 'Human-centered computing', 'Human computer interaction (HCI)', 'Interaction devices', 'Graphics input devices', 'Interactive systems and tools', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments', 'Integrated and visual development environments']"
15,Creating principal 3D curves with digital tape drawing,"['Tovi Grossman', 'Ravin Balakrishnan', 'Gordon Kurtenbach', 'George Fitzmaurice', 'Azam Khan', 'Bill Buxton']",https://doi.org/10.1145/503376.503398,Previous systems have explored the challenges of designing an interface for automotive styling which combine the metaphor of 2D drawing using physical tape with the simultaneous creation and management of a corresponding virtual 3D model. These systems have been limited to only 2D planar curves while typically the principal characteristic curves of an automotive design are three dimensional and non-planar. We present a system which addresses this limitation. Our system allows a designer to construct these non-planar 3D curves by drawing a series of 2D curves using the 2D tape drawing technique and interaction style. These results are generally applicable to the interface design of 3D modeling applications and also to the design of arm's length interaction on large scale display systems,59,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Image and video acquisition', '3D imaging', 'Computer graphics', 'Animation', 'Physical simulation', 'Shape modeling', 'Parametric curve and surface models', 'Volumetric models', 'Mathematics of computing', 'Continuous mathematics', 'Topology', 'Geometric topology']"
16,Adaptive testing: effects on user performance,"['Eva Jettmar', 'Clifford Nass']",https://doi.org/10.1145/503376.503400,"This study examines the effects of interface adaptation on user performance in HCI and CMC. No studies to date have explored the psychological effects of a combination of software performance monitoring and adaptation. This combination is the focus of the present study. Two competing possible effects of adaptive interfaces are presented: 1) Social facilitation, according to which users with high task confidence should perform better, and users with low task confidence should perform less well because their performance is monitored by the interface; and 2) ""choking"", according to which users with high task confidence should perform less well, and users with low task confidence should perform better because the interface adapts to their performance. A 2 (adaptive vs. non-adaptive) x 2 (high user task confidence vs. low task confidence) x 2 (HCI vs. CMC) laboratory experiment was conducted. Results indicate that for CMC, the social facilitation explanation holds true, while results for HCI were consistent with the ""choking"" explanation. Implications for the theory and design of adaptive interfaces are discussed",7,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Human computer interaction (HCI)', 'Software and its engineering', 'Software creation and management', 'Software verification and validation', 'Software defect analysis', 'Software testing and debugging', 'Software notations and tools', 'Development frameworks and environments', 'Integrated and visual development environments']"
17,Effects of four computer-mediated communications channels on trust development,"['Nathan Bos', 'Judy Olson', 'Darren Gergle', 'Gary Olson', 'Zach Wright']",https://doi.org/10.1145/503376.503401,"When virtual teams need to establish trust at a distance, it is advantageous for them to use rich media to communicate. We studied the emergence of trust in a social dilemma game in four different communication situations: face-to-face, video, audio, and text chat. All three of the richer conditions were significant improvements over text chat. Video and audio conferencing groups were nearly as good as face-to-face, but both did show some evidence of what we term delayed trust (slower progress toward full cooperation) and fragile trust (vulnerability to opportunistic behavior)",163,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Computer graphics', 'Graphics systems and interfaces', 'Virtual reality', 'Human-centered computing', 'Human computer interaction (HCI)', 'Interaction paradigms', 'Mixed / augmented reality', 'Virtual reality', 'Information systems', 'World Wide Web', 'Web applications', 'Internet communications tools', 'Web conferencing']"
18,Trust without touch: jumpstarting long-distance trust with initial social activities,"['Jun Zheng', 'Elizabeth Veinott', 'Nathan Bos', 'Judith S. Olson', 'Gary M. Olson']",https://doi.org/10.1145/503376.503402,"Computer-mediated communication (CMC) is thought to be inadequate when one needs to establish trust. If, however, people meet before using CMC, they trust each other, trust being established through touch. Here we show that if participants do not meet beforehand but rather engage in various getting-acquainted activities over a network, trust is much higher than if they do nothing beforehand, nearly as good as a prior meeting. Using text-chat to get acquainted is nearly as good as meeting, and even just seeing a picture is better than nothing",74,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Applied computing', 'Operations research', 'Consumer products', 'Computing methodologies', 'Artificial intelligence', 'Philosophical/theoretical foundations of artificial intelligence', 'Cognitive science', 'Human-centered computing', 'Human computer interaction (HCI)', 'Empirical studies in HCI']"
19,Automating CPM-GOMS,"['Bonnie John', 'Alonso Vera', 'Michael Matessa', 'Michael Freed', 'Roger Remington']",https://doi.org/10.1145/503376.503404,"CPM-GOMS is a modeling method that combines the task decomposition of a GOMS analysis with a model of human resource usage at the level of cognitive, perceptual, and motor operations. CPM-GOMS models have made accurate predictions about skilled user behavior in routine tasks, but developing such models is tedious and error-prone. We describe a process for automatically generating CPM-GOMS models from a hierarchical task decomposition expressed in a cognitive modeling tool called Apex. Resource scheduling in Apex automates the difficult task of interleaving the cognitive, perceptual, and motor resources underlying common task operators (e.g. mouse move-and-click). Apex's UI automatically generates PERT charts, which allow modelers to visualize a model's complex parallel behavior. Because interleaving and visualization is now automated, it is feasible to construct arbitrarily long sequences of behavior. To demonstrate the process, we present a model of automated teller interactions in Apex and discuss implications for user modeling",28,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Artificial intelligence', 'Philosophical/theoretical foundations of artificial intelligence', 'Cognitive science', 'Human-centered computing', 'Human computer interaction (HCI)', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments', 'Integrated and visual development environments']"
20,Investigating human-computer optimization,"['Stacey D. Scott', 'Neal Lesh', 'Gunnar W. Klau']",https://doi.org/10.1145/503376.503405,"Scheduling, routing, and layout tasks are examples of hard optimization problems with broad application in industry. Past research in this area has focused on algorithmic issues. However, this approach neglects many important human-computer interaction issues that must be addressed to provide people with practical solutions to optimization problems. Automatic methods do not leverage human expertise and can only find solutions that are optimal with regard to an invariably over-simplified problem description. Furthermore, users must understand the generated solutions in order to implement, justify, or modify them. Interactive optimization helps address these issues but has not previously been studied in detail. This paper describes experiments on an interactive optimization system that explore the most appropriate way to combine the respective strengths of people and computers. Our results show that users can successfully identify promising areas of the search space as well as manage the amount of computational effort expended on different subproblems",34,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Human computer interaction (HCI)', 'Interactive systems and tools', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments', 'Integrated and visual development environments']"
21,An evaluation of a multiple interface design solution for bloated software,"['Joanna McGrenere', 'Ronald M. Baecker', 'Kellogg S. Booth']",https://doi.org/10.1145/503376.503406,"This study examines a novel interface design for heavily-featured productivity software. The design includes two interfaces between which the user can easily toggle: (1) an interface personalized by the user containing desired features only, and (2) the default interface with all the standard features. This design was prototyped as a front-end to a commercial word processor and evaluated in a comprehensive field study. The study tested the effects of different interface designs on users' satisfaction and their perceived ability to navigate, control, and learn the software. There were two conditions: a commercial word processor with adaptive menus and our two-interface prototype with adaptable menus for the same word processor. Results showed that participants were better able to navigate through the menus and toolbars and were better able to learn with our prototype. There were also significant differences in satisfaction and control with our design",75,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Collaborative and social computing', 'Collaborative and social computing systems and tools', 'Synchronous editors', 'Human computer interaction (HCI)', 'Interaction design', 'Interaction design process and methods', 'User centered design', 'Information systems', 'Information systems applications', 'Collaborative and social computing systems and tools', 'Synchronous editors']"
22,Introducing instant messaging and chat in the workplace,"['James D. Herbsleb', 'David L. Atkins', 'David G. Boyer', 'Mark Handel', 'Thomas A. Finholt']",https://doi.org/10.1145/503376.503408,"We report on our experiences of introducing an instant messaging and group chat application into geographically distributed workgroups. We describe a number of issues we encountered, including privacy concerns, individual versus group training, and focusing on teams or individuals. The perception of the tool's utility was a complex issue, depending both on users' views of the importance of informal communication, and their perceptions of the nature of cross-site communication issues. Finally, we conclude with a discussion of critical mass, which is related to the features each user actually uses. More generally, we encountered a dilemma that imposes serious challenges for user-centered design of groupware systems",84,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Applied computing', 'Enterprise computing', 'Business process management', 'Human-centered computing', 'Collaborative and social computing', 'Human computer interaction (HCI)', 'HCI design and evaluation methods', 'Social and professional topics', 'Professional topics', 'Management of computing and information systems', 'Project and people management']"
23,Hubbub: a sound-enhanced mobile instant messenger that supports awareness and opportunistic interactions,"['Ellen Isaacs', 'Alan Walendowski', 'Dipti Ranganthan']",https://doi.org/10.1145/503376.503409,"There have been many attempts to support awareness and lightweight interactions using video and audio, but few have been built on widely available infrastructure. Text-based systems have become more popular, but few support awareness, opportunistic conversations, and mobility, three important elements of distributed collaboration. We built on the popularity of text-based Instant Messengers (IM) by building a mobile IM called Hubbub that tries to provide all three, notably through the use of earcons. In a 5.5-month use study, we found that Hubbub helped people feel connected to colleagues in other locations and supported opportunistic interactions. The sounds provided effective awareness cues, although some found them annoying. It was more important to support graceful transitions between multiple fixed locations than to support wireless access, although both were useful",74,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Collaborative and social computing', 'Human computer interaction (HCI)', 'Software and its engineering', 'Software notations and tools', 'Development frameworks and environments']"
24,When conventions collide: the tensions of instant messaging attributed,"['Amy Voida', 'Wendy C. Newstetter', 'Elizabeth D. Mynatt']",https://doi.org/10.1145/503376.503410,"We discuss findings from observation, interviews, and textual analysis of instant messaging use in a university research lab setting. We propose a method for characterizing the tensions that permeate instant messaging texts and that expose the collision between conventions of verbal and written communication. Given this method, we suggest a design space for exploring potential design choices in instant messaging clients. Finally, we recommend an analysis of communicative conventions as a fruitful lens through which designers might anticipate or circumvent design tensions in emergent computer-mediated communication technologies",44,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Human-centered computing', 'Collaborative and social computing', 'Collaborative and social computing design and evaluation methods', 'Human computer interaction (HCI)', 'Interactive systems and tools']"
25,Women take a wider view,"['Mary Czerwinski', 'Desney S. Tan', 'George G. Robertson']",https://doi.org/10.1145/503376.503412,"Published reports suggest that males significantly outperform females in navigating virtual environments. A novel navigation technique reported in CHI 2001, when combined with a large display and wide field of view, appeared to reduce that gender bias. That work has been extended with two navigation studies in order to understand the finding under carefully controlled conditions. The first study replicated the finding that a wide field of view coupled with a large display benefits both male and female users and reduces gender bias. The second study suggested that wide fields of view on a large display were useful to females despite a more densely populated virtual world. Implications for design of virtual worlds and large displays are discussed. Specifically, women take a wider field of view to achieve similar virtual environment navigation performance to men",90,April 2002  ,Article ,CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"['Computing methodologies', 'Computer graphics', 'Graphics systems and interfaces', 'Virtual reality', 'Human-centered computing', 'Human computer interaction (HCI)', 'Interaction paradigms', 'Mixed / augmented reality', 'Virtual reality', 'Software and its engineering', 'Software organization and properties', 'Contextual software domains', 'Virtual worlds software']"
